fid,id,left,top,right,bottom,built_sum,built_mean
"277","277",864426.551876033,646794.977131085,869426.551876033,641794.977131085,1549.29542395473,0.531308444428918
"278","278",864426.551876033,641794.977131085,869426.551876033,636794.977131085,956.264298021793,0.875699906613364
"287","287",869426.551876033,671794.977131085,874426.551876033,666794.977131085,36.1166141629219,0.531126678866499
"288","288",869426.551876033,666794.977131085,874426.551876033,661794.977131085,277.258483976126,0.906073477046162
"289","289",869426.551876033,661794.977131085,874426.551876033,656794.977131085,2256.92662057281,1.11233446060759
"290","290",869426.551876033,656794.977131085,874426.551876033,651794.977131085,4708.04252201319,1.61455504870137
"291","291",869426.551876033,651794.977131085,874426.551876033,646794.977131085,14024.0439011753,4.72190030342601
"292","292",869426.551876033,646794.977131085,874426.551876033,641794.977131085,6657.86130642891,2.34431736141863
"293","293",869426.551876033,641794.977131085,874426.551876033,636794.977131085,1463.36693257093,2.01288436392151
"304","304",874426.551876033,661794.977131085,879426.551876033,656794.977131085,2161.78322809935,0.979956132411308
"305","305",874426.551876033,656794.977131085,879426.551876033,651794.977131085,4269.03967893124,1.43738709728324
"306","306",874426.551876033,651794.977131085,879426.551876033,646794.977131085,10696.6071116924,3.60884180556425
"307","307",874426.551876033,646794.977131085,879426.551876033,641794.977131085,6223.42392909527,2.80840430013324
"308","308",874426.551876033,641794.977131085,879426.551876033,636794.977131085,1456.91828644276,2.68804111889808
"318","318",879426.551876033,666794.977131085,884426.551876033,661794.977131085,824.069002270699,0.83407793752095
"319","319",879426.551876033,661794.977131085,884426.551876033,656794.977131085,3062.58304286003,1.06339688988196
"320","320",879426.551876033,656794.977131085,884426.551876033,651794.977131085,5350.44106513262,1.83485633235001
"321","321",879426.551876033,651794.977131085,884426.551876033,646794.977131085,10999.000658989,4.11793360501271
"322","322",879426.551876033,646794.977131085,884426.551876033,641794.977131085,2328.71198701859,1.56815622021454
"323","323",879426.551876033,641794.977131085,884426.551876033,636794.977131085,1247.95248913765,2.62726839818453
"333","333",884426.551876033,666794.977131085,889426.551876033,661794.977131085,1049.74841010571,1.278621693186
"334","334",884426.551876033,661794.977131085,889426.551876033,656794.977131085,5453.547965765,1.87085693508233
"335","335",884426.551876033,656794.977131085,889426.551876033,651794.977131085,11066.7914493084,3.79519597027037
"336","336",884426.551876033,651794.977131085,889426.551876033,646794.977131085,8982.15085041523,3.05100232690735
"337","337",884426.551876033,646794.977131085,889426.551876033,641794.977131085,2860.49853104353,1.68661469990774
"338","338",884426.551876033,641794.977131085,889426.551876033,636794.977131085,717.242436289787,1.7709689784933
"339","339",884426.551876033,636794.977131085,889426.551876033,631794.977131085,0,
"348","348",889426.551876033,666794.977131085,894426.551876033,661794.977131085,173.405431628227,3.09652556478977
"349","349",889426.551876033,661794.977131085,894426.551876033,656794.977131085,3766.67055809498,3.01816551129405
"350","350",889426.551876033,656794.977131085,894426.551876033,651794.977131085,16178.6291534901,5.55966637576978
"351","351",889426.551876033,651794.977131085,894426.551876033,646794.977131085,5689.62315565348,1.96329301437318
"352","352",889426.551876033,646794.977131085,894426.551876033,641794.977131085,3771.46996247768,1.5694839627456
"353","353",889426.551876033,641794.977131085,894426.551876033,636794.977131085,1562.32135736942,1.95290169671178
"364","364",894426.551876033,661794.977131085,899426.551876033,656794.977131085,79.1177268028259,1.09885731670592
"365","365",894426.551876033,656794.977131085,899426.551876033,651794.977131085,3196.42329311371,2.22747267812802
"366","366",894426.551876033,651794.977131085,899426.551876033,646794.977131085,5446.70036762953,1.84571344209743
"367","367",894426.551876033,646794.977131085,899426.551876033,641794.977131085,5567.63192170858,1.90999379818476
"368","368",894426.551876033,641794.977131085,899426.551876033,636794.977131085,4297.17012643814,3.92077566280852
"381","381",899426.551876033,651794.977131085,904426.551876033,646794.977131085,1985.56257140636,2.94593853324386
"382","382",899426.551876033,646794.977131085,904426.551876033,641794.977131085,12367.5421369672,5.80635781078271
"383","383",899426.551876033,641794.977131085,904426.551876033,636794.977131085,15053.3106124401,12.3691952444044
"397","397",904426.551876033,646794.977131085,909426.551876033,641794.977131085,280.714101672173,2.03416015704473
"398","398",904426.551876033,641794.977131085,909426.551876033,636794.977131085,971.63652908802,2.84937398559537
